_seg_id,x,y,protein_0,protein_1,protein_2,protein_3,protein_4,protein_5,protein_6,protein_7,protein_8,protein_9,protein_10,protein_11,protein_12,protein_13,protein_14,protein_15,protein_16,protein_17,cell_type,region_type,cell_type_id,region_type_id,neighbor_label
136641,411.40708000000086,1678.7817109999996,25.72470238,30.49553571,0.605654762,0.927083333,4.976190476,428.4732143,0.0,0.553571429,309.577381,16.16071429,44.38690476,184.0223214,0.0,0.004464286,0.004464286,0.020833333,223.7693452,146.5267857,immune,core,0,0,0
136642,944.8426999999992,1673.7921349999997,11.83430233,27.52906977,6.86627907,3.752906977,5.229651163,394.5406977,0.0,0.688953488,262.247093,0.674418605,52.10174419,163.497093,0.026162791,0.0,0.002906977,0.002906977,8.726744186,504.9767442,immune,core,0,0,0
136664,192.7070700000004,1678.2878790000004,3.961165049,153.1650485,0.330097087,0.035598706,2.980582524,422.2427184,0.0,0.987055016,297.5760518,0.582524272,75.18770227,179.6601942,0.071197411,0.087378641,0.0,0.0,96.00970874,357.605178,immune,core,0,0,0
136665,347.3228600000002,1680.051429,41.11787819,168.0117878,0.253438114,0.388998035,4.123772102,444.172888,0.0,0.096267191,301.6247544,34.39292731,65.82711198,227.6031434,0.0,0.0,0.0,0.0,338.1119843,130.7779961,immune,core,0,0,0
136666,1926.5,1674.3548389999996,6.194805195,78.10064935,1.496753247,2.422077922,2.383116883,293.3474026,0.0,0.279220779,242.512987,0.152597403,20.10714286,90.58116883,84.56818182,9.61038961,0.0,0.0,2.935064935,583.5487013,immune,core,0,0,0
136691,487.5444800000005,1679.373665,9.125925926,20.18765432,15.66419753,4.69382716,4.375308642,376.0320988,0.0,0.009876543,326.6666667,8.385185185,162.8395062,240.7654321,67.11851852,0.244444444,0.0,0.0,336.0345679,36.02469136,immune,core,0,0,0
136692,1849.4605300000003,1682.802632,5.376420455,35.02698864,3.579545455,4.990056818,3.105113636,341.4588068,0.0,1.026988636,302.5440341,0.026988636,8.018465909,106.8792614,87.20454545,61.26136364,0.0,0.0,179.4815341,155.4190341,immune,core,0,0,0
136722,138.0075199999992,1682.067669,3.75,29.89655172,6.833333333,4.186781609,276.7298851,115.1206897,0.0,1.137931034,154.2988506,3.522988506,8.695402299,12.11781609,0.074712644,560.8045977,0.0,0.0,371.545977,87.53448276,immune,core,0,0,0
136723,584.0996899999991,1681.2367599999998,7.529964747,50.90011751,2.703877791,2.391304348,10.59389671,368.778169,0.0,2.264637002,300.2985948,0.0,66.28638498,162.2687793,0.069248826,0.251173709,9.532239156,17.24970692,36.93317702,53.03751465,immune,core,0,0,0
136724,1903.05208,1682.5208329999996,8.584779706,26.48598131,4.441922563,4.337783712,2.730307076,340.0267023,0.0,0.339118825,172.2817089,31.71562083,19.55941255,88.94526035,89.96395194,15.76902537,0.0,0.0,3.32576769,560.4512684,immune,core,0,0,0
136765,120.05817000000025,1684.5013849999996,5.028218695,21.38977072,8.12345679,4.181657848,6.507936508,313.5643739,47.9047619,0.645502646,236.1798942,0.121693122,68.76719577,170.6878307,0.243386243,31.44091711,2.675485009,5.813051146,176.1022928,88.48677249,immune,core,0,0,0
136766,810.3551399999997,1683.2305299999998,22.9787234,65.98085106,0.738297872,0.938297872,5.965957447,460.2191489,0.0,2.008510638,276.2723404,0.00212766,0.412765957,253.2,0.00212766,5.80212766,1.527659574,3.238297872,98.03191489,59.82340426,immune,core,0,0,0
136767,877.4355300000007,1682.704871,23.63333333,291.6313725,0.08627451,0.0,5.425490196,448.3431373,0.0,2.319607843,271.854902,0.0,0.237254902,248.4823529,0.0,8.443137255,0.0,0.0,294.4882353,48.59215686,immune,core,0,0,0
